Source,X,Y
288,32.128886,118.910274
289,32.128509,118.911740
290,32.059490,118.799593
291,32.128985,118.909766
292,32.125473,118.903547
293,32.028663,118.709916
294,32.123194,118.900218
295,32.125095,118.899829
296,32.124529,118.900484
297,32.116948,118.953985
298,32.125711,118.899388
299,32.137727,118.819123
300,32.124088,118.901287
301,32.124027,118.901361
302,32.109697,118.821825
303,32.124540,118.898035
304,32.124462,118.898035
305,32.124380,118.898068
306,32.122732,118.899159
307,32.129251,118.805208
308,32.079541,118.767400
309,32.075317,118.759590
310,32.112928,118.839488
311,32.125161,118.899258
312,32.125167,118.899330
313,32.123821,118.900743
314,32.124394,118.898312
315,32.074977,118.759145
316,32.122735,118.899442
317,32.124333,118.900248
318,32.124936,118.902615
319,32.125002,118.898530
320,32.129042,118.803459
321,32.132078,118.828763
322,32.124495,118.899172
323,32.124059,118.899677
324,32.129741,118.841684
325,32.124254,118.899451
326,32.137864,118.819542
327,31.600171,119.021702
328,32.196115,119.167392
329,32.016055,118.754304
330,32.119862,118.890999
331,32.028678,118.710766
332,32.366437,118.819916
333,32.196411,119.166794
334,32.116825,118.952484
335,32.126417,118.849410
336,31.320416,118.864710
337,32.119577,118.888706
338,32.119350,118.888949
339,32.119243,118.889094
340,32.119191,118.889224
341,31.425514,119.028642
342,32.319409,118.813119
343,32.119353,118.889914
344,32.119898,118.890749
345,32.120000,118.890891
346,32.120574,118.891735
347,32.121148,118.892462
348,32.126810,118.945887
349,32.121554,118.892965
350,32.113752,118.949319
351,32.138121,118.956172
352,32.140390,118.907732
353,32.139952,118.907661
354,32.162502,118.922926
355,32.028717,118.711271
356,32.215532,119.146885
357,31.425193,119.028470
358,32.196931,119.166144
359,31.950864,118.692186
360,31.677297,118.736279
361,32.141058,118.908721
362,31.950844,118.671083
363,32.460275,118.824862
364,31.680346,118.742832
365,32.147947,118.924356
366,32.147906,118.924171
367,32.116313,118.953132
368,32.148094,118.923216
369,31.424763,119.028486
370,32.149357,118.922098
371,32.154099,118.925152
372,32.154204,118.925554
373,32.156415,118.923979
374,32.157150,118.923913
375,32.157700,118.923671
376,32.157731,118.921376
377,32.161121,118.914210
378,32.197347,119.165737
379,32.161132,118.915633
380,32.159342,118.915637
381,32.164518,118.912409
382,32.165155,118.907299
383,32.165220,118.910466
384,32.165186,118.910885
385,32.165089,118.911247
386,32.164770,118.912289
387,32.164649,118.912735
388,32.164470,118.913527
389,32.164181,118.915548
390,32.164143,118.916028
391,32.163933,118.916971
392,32.163702,118.917662
393,32.028715,118.711104
394,32.103845,119.020758
395,32.161579,118.911978
396,32.161999,118.911458
397,32.162140,118.911356
398,32.162319,118.911328
399,32.163819,118.911560
400,32.103395,119.021162
401,32.165231,118.912519
402,32.165425,118.912533
403,32.167726,118.911856
404,32.112441,118.949961
405,32.168785,118.911034
406,32.169473,118.911076
407,32.197835,119.165270
408,32.169635,118.911291
409,32.169643,118.913840
410,32.169623,118.915475
411,32.169683,118.915606
412,32.169738,118.915825
413,32.138118,118.947940
414,32.169797,118.916871
415,32.169647,118.916983
416,32.169236,118.917058
417,32.168588,118.917100
418,32.115452,118.953397
419,32.166164,118.908111
420,32.171051,118.905051
421,31.321227,118.873074
422,32.108781,118.804892
423,32.169876,118.904707
424,32.171486,118.902597
425,32.108722,118.804996
426,32.171767,118.900224
427,32.171927,118.898478
428,32.169669,118.907870
429,32.169774,118.908170
430,32.169852,118.908683
431,32.169876,118.908984
432,31.966150,118.779934
433,32.169933,118.909529
434,32.169762,118.909696
435,32.169382,118.910018
436,32.169019,118.910527
437,32.168974,118.910644
438,32.168956,118.911044
439,32.169071,118.909524
440,32.100109,119.021955
441,32.130882,118.950326
